,rerun1,rerun2,bootstrap,KMeans_Spectral_GSMCorr,Ward_KMeans_GSMCorr,Spectral_Ward_GSMCorr,KMeans_Spectral_RandIdx,Ward_KMeans_RandIdx,Spectral_Ward_RandIdx
0,7,5,200,0.482535129,0.611573727,0.349656585,0.316244294,0.465645657,0.228258495
0,7,6,200,0.488974813,0.60043916,0.331317004,0.328148337,0.449116812,0.210360309
0,7,7,200,0.47694546,0.614827966,0.299512341,0.314638663,0.499012632,0.211138132
0,7,8,200,0.477941785,0.580898895,0.310731478,0.316771828,0.477279107,0.209789071
0,7,9,200,0.471120693,0.601571611,0.352713802,0.317215775,0.472514303,0.201021427
0,7,10,200,0.470276593,0.575474207,0.35740789,0.312838111,0.471658907,0.213696014
0,7,11,200,0.510602159,0.624982183,0.346692252,0.318197531,0.515706094,0.230200351
0,7,12,200,0.48631447,0.598507481,0.322804311,0.321357088,0.492205024,0.204757326
0,7,13,200,0.481688239,0.603408826,0.324062608,0.320731538,0.499371321,0.229324139
0,8,1,200,0.428596151,0.607056721,0.348618657,0.299064633,0.477515351,0.229833675
0,8,2,200,0.444372837,0.590550345,0.332919719,0.303776666,0.471278774,0.22104094
0,8,3,200,0.461933231,0.630044347,0.343126868,0.320507956,0.496634092,0.234519762
0,8,4,200,0.447350183,0.58459215,0.344462703,0.307059694,0.463207136,0.215109411
0,8,5,200,0.452769823,0.605538464,0.353252395,0.312320165,0.452569321,0.234943124
0,8,6,200,0.457822076,0.594580175,0.334353882,0.32623052,0.43910799,0.214302976
0,8,7,200,0.445974964,0.61026282,0.301709616,0.310046953,0.475222524,0.215597902
0,8,8,200,0.445668117,0.573650878,0.312351055,0.307901177,0.46058308,0.214167778
0,8,9,200,0.441420104,0.597094413,0.354166875,0.31407234,0.45536498,0.205464239
0,8,10,200,0.439138359,0.570481054,0.360825247,0.307839355,0.452916294,0.2172493
0,8,11,200,0.479605354,0.620245929,0.349161184,0.313244394,0.492744709,0.237280774
0,8,12,200,0.455332293,0.592660026,0.32510396,0.318606607,0.474814802,0.209890692
0,8,13,200,0.451030533,0.59762777,0.327170415,0.315097105,0.48045805,0.234087271
0,9,1,200,0.481376571,0.637845374,0.345820607,0.325246742,0.447918517,0.23589852
0,9,2,200,0.496389175,0.621207017,0.330814857,0.329638055,0.439463765,0.225679226
0,9,3,200,0.514538191,0.660442601,0.34018375,0.346273215,0.46322492,0.243498164
0,9,4,200,0.500779263,0.614278646,0.341563614,0.330132807,0.429694585,0.219668923
0,9,5,200,0.505180303,0.634334355,0.349025085,0.33780004,0.426313142,0.23574911
0,9,6,200,0.510318089,0.628347593,0.33374928,0.353393072,0.416253779,0.219867306
0,9,7,200,0.496859113,0.641860416,0.301210308,0.333729707,0.441459822,0.22005629
0,9,8,200,0.497825866,0.603065061,0.311565422,0.337078669,0.429820292,0.218403374
0,9,9,200,0.495630423,0.629732237,0.353018572,0.340710486,0.426493867,0.208542825
0,9,10,200,0.490517361,0.603340074,0.357745382,0.332129431,0.424340015,0.221234036
0,9,11,200,0.530268087,0.654437812,0.345470823,0.341387182,0.45992266,0.241298069
0,9,12,200,0.506238991,0.623771985,0.323666655,0.343821619,0.444674008,0.213657818
0,9,13,200,0.503857047,0.627481402,0.326217443,0.34036279,0.450967984,0.238216897
0,10,1,200,0.443189633,0.637501401,0.338668943,0.3159033,0.500319293,0.221739699
0,10,2,200,0.459833329,0.621591703,0.324053634,0.323594907,0.485988393,0.214219825
0,10,3,200,0.478691546,0.654488744,0.333943024,0.340746785,0.514904773,0.229301151
0,10,4,200,0.462724553,0.621860844,0.33469892,0.325644033,0.484368906,0.20915212
0,10,5,200,0.467957445,0.636494342,0.341918334,0.330761374,0.465094301,0.225845341
0,10,6,200,0.473848353,0.635871368,0.325016402,0.345155384,0.452850393,0.207947267
0,10,7,200,0.46317264,0.646796809,0.293666834,0.327289372,0.492035322,0.2088068
0,10,8,200,0.463678546,0.610590974,0.304351772,0.331294502,0.475871686,0.208046092
0,10,9,200,0.457284846,0.637322601,0.346161634,0.333534751,0.472351879,0.19942597
0,10,10,200,0.456445222,0.60849938,0.349818354,0.326014973,0.470081539,0.211077683
0,10,11,200,0.493577928,0.643234944,0.339561596,0.335013546,0.507646773,0.228642063
0,10,12,200,0.471654095,0.629154623,0.317235258,0.336159468,0.492657124,0.203522784
0,10,13,200,0.467284391,0.635466843,0.318651918,0.335451314,0.497663489,0.22674233
0,11,1,200,0.479181884,0.635170535,0.393725985,0.306937243,0.514477271,0.245020111
0,11,2,200,0.491409111,0.622429113,0.37634475,0.309472991,0.499432268,0.23285341
0,11,3,200,0.515649879,0.655758595,0.384976269,0.332466738,0.528867509,0.24863674
0,11,4,200,0.50093072,0.620181567,0.390205081,0.317708297,0.495923781,0.225504492
0,11,5,200,0.503575913,0.636755353,0.401737557,0.322713103,0.489336898,0.250051626
0,11,6,200,0.507213784,0.628513963,0.378451633,0.333793706,0.476813183,0.228171661
0,11,7,200,0.496341699,0.643598727,0.345178392,0.320747297,0.505980627,0.227447055
0,11,8,200,0.498460271,0.612494171,0.357903475,0.324190288,0.501951956,0.228111714
0,11,9,200,0.491641654,0.630685015,0.398813404,0.321634208,0.496164418,0.218090694
0,11,10,200,0.491039614,0.607373207,0.407154216,0.31973111,0.489669457,0.230591251
0,11,11,200,0.527261202,0.643277314,0.392673012,0.322795963,0.517831652,0.252447122
0,11,12,200,0.504601416,0.627695329,0.365102675,0.325221805,0.514379955,0.222460078
0,11,13,200,0.501635306,0.631112305,0.368066363,0.32557378,0.516313105,0.246669233
0,12,1,200,0.451744417,0.613691396,0.35725688,0.314299322,0.475568567,0.239270796
0,12,2,200,0.46800715,0.595919075,0.343347935,0.31899575,0.46545475,0.231456266
0,12,3,200,0.488784498,0.635021024,0.351607654,0.342316212,0.494789855,0.244132812
0,12,4,200,0.471559678,0.590062024,0.354616894,0.320781359,0.459456149,0.223952134
0,12,5,200,0.477516766,0.609721756,0.365584974,0.329698221,0.445942973,0.247669215
0,12,6,200,0.4823307,0.601693131,0.345485261,0.342531639,0.430216926,0.225414709
0,12,7,200,0.469185172,0.615891678,0.312815285,0.325999559,0.47028365,0.225589599
0,12,8,200,0.470536486,0.5780527,0.323843381,0.330874312,0.454717689,0.226368537
0,12,9,200,0.464617113,0.603707422,0.364072129,0.330633516,0.450022803,0.216466004
0,12,10,200,0.462556831,0.575441194,0.370389757,0.324030354,0.446648896,0.228296449
0,12,11,200,0.505793618,0.627466321,0.359294848,0.335481641,0.483940765,0.248911057
0,12,12,200,0.480119677,0.597893021,0.334154773,0.332807185,0.4654322,0.219380199
0,12,13,200,0.47504775,0.605147339,0.336364534,0.333797952,0.473477272,0.243385303
0,13,1,200,0.437880223,0.629995893,0.358611642,0.307503978,0.519459849,0.241295842
0,13,2,200,0.45244993,0.611393667,0.342142077,0.311293973,0.51000286,0.232092483
0,13,3,200,0.472049874,0.654360777,0.352615006,0.332162276,0.542076847,0.249039135
0,13,4,200,0.456983188,0.604436467,0.354218725,0.315156573,0.500692109,0.225310193
0,13,5,200,0.462426593,0.626253212,0.364266175,0.32273534,0.484875654,0.244565919
0,13,6,200,0.466587829,0.616153009,0.345224834,0.333962189,0.464731698,0.226325422
0,13,7,200,0.454808683,0.631312267,0.311635073,0.318406817,0.512581495,0.225518548
0,13,8,200,0.455430081,0.594099924,0.323001809,0.320167851,0.496166923,0.225177536
0,13,9,200,0.450341167,0.618523923,0.364018484,0.321600788,0.49215933,0.215458662
0,13,10,200,0.44817019,0.590878705,0.370824423,0.316581202,0.490389824,0.227907442
0,13,11,200,0.490419257,0.644205004,0.358224168,0.325214052,0.530852676,0.24854753
0,13,12,200,0.463547676,0.614067407,0.33383359,0.324312813,0.511720912,0.219483168
0,13,13,200,0.460044444,0.618737926,0.336520263,0.325805143,0.518211161,0.244770629
0,1,1,0,0.33715206,0.4585899,0.23162734,0.335380831,0.458154552,0.229655527
