,rerun,group_dim,bootstrap,subject,ism_repref_corr,sub_rep_ism_gsm_corr,sub_ref_ism_gsm_corr
0,7.0,100,200,22,0.5344440728428634,0.7195211100549456,0.557644314823737
0,7.0,100,200,15,0.40528155223465284,0.44695225234153724,0.4066304731652781
0,7.0,100,200,18,0.5539665599936924,0.685231243840633,0.692438340456677
0,7.0,100,200,17,0.4699611084878386,0.3995166122216419,0.5297197834582151
0,7.0,100,200,3,0.5045813587820415,0.6973149306377056,0.592575449222221
0,8.0,100,200,20,0.609297198635759,0.6879982502383141,0.5198447503861566
0,8.0,100,200,19,0.5837690459945892,0.7335165859719832,0.7341271852333724
0,8.0,100,200,9,0.4672144565756343,0.653323972725643,0.5058904889455101
0,8.0,100,200,14,0.5233733760358804,0.6457640026148395,0.5119193850884628
0,8.0,100,200,21,0.5125618319008131,0.6273344155707822,0.6253100387741948
0,8.0,100,200,8,0.5650756725319894,0.5926514436579335,0.49580003166859854
0,8.0,100,200,4,0.5673508849873947,0.718850045990039,0.7803471018945503
0,8.0,100,200,11,0.5530779384302371,0.6668387810197335,0.6653127587489406
0,8.0,100,200,6,0.525255880340912,0.6059240010190979,0.5191504608888161
0,8.0,100,200,7,0.5936714977450755,0.5281147279118702,0.4796278658272439
0,8.0,100,200,23,0.5417531383289254,0.6389179029645355,0.6334163306663393
0,8.0,100,200,0,0.5795048255399405,0.7830437139725294,0.5198034317929469
0,8.0,100,200,10,0.5826285463393085,0.5426318461421218,0.6294190871633324
0,8.0,100,200,16,0.4880309193857159,0.6544552424341754,0.5956281951816507
0,8.0,100,200,12,0.5170154812357782,0.5908458168716186,0.686808911140725
0,8.0,100,200,2,0.4858083959549863,0.6687109210294376,0.4353409668249342
0,8.0,100,200,13,0.40155096139778423,0.4690136571730912,0.6038351697573711
0,8.0,100,200,5,0.5269122347397399,0.5772051878923025,0.48814774653128257
0,8.0,100,200,1,0.5259232393636147,0.594808601653446,0.569370815905243
0,8.0,100,200,22,0.5454321376806989,0.7264828459316652,0.557644314823737
0,8.0,100,200,15,0.39421413591323934,0.5021473580902739,0.4066304731652781
0,8.0,100,200,18,0.5591008392017669,0.6852731260415121,0.692438340456677
0,8.0,100,200,17,0.4767445196869768,0.4518513908185715,0.5297197834582151
0,8.0,100,200,3,0.5095409948103219,0.6749388333530492,0.592575449222221
0,9.0,100,200,20,0.5932823648019683,0.6277304487863133,0.5198447503861566
0,9.0,100,200,19,0.5759808251307007,0.7144097409631157,0.7341271852333724
0,9.0,100,200,9,0.4621554866741397,0.6116975943311831,0.5058904889455101
0,9.0,100,200,14,0.5376679472559736,0.5360285733854611,0.5119193850884628
0,9.0,100,200,21,0.5229261276551274,0.6829159686771799,0.6253100387741948
0,9.0,100,200,8,0.5768072706357276,0.5275946279501578,0.49580003166859854
0,9.0,100,200,4,0.5517180531418328,0.6713626557926946,0.7803471018945503
0,9.0,100,200,11,0.5515701251727025,0.6199303070721844,0.6653127587489406
0,9.0,100,200,6,0.5113273090761417,0.5287456543833503,0.5191504608888161
0,9.0,100,200,7,0.6072546137622261,0.516060116654853,0.4796278658272439
0,9.0,100,200,23,0.5460009128789644,0.5809529420577694,0.6334163306663393
0,9.0,100,200,0,0.5774490250150318,0.6574777511518978,0.5198034317929469
0,9.0,100,200,10,0.5854657981369994,0.48125299811904854,0.6294190871633324
0,9.0,100,200,16,0.47944593847552514,0.554883760714754,0.5956281951816507
0,9.0,100,200,12,0.5142301139020441,0.5714739185415048,0.686808911140725
0,9.0,100,200,2,0.500368359908697,0.6323038600311701,0.4353409668249342
0,9.0,100,200,13,0.4151468107217575,0.3970396151589335,0.6038351697573711
0,9.0,100,200,5,0.5501040513898046,0.5387567068047576,0.48814774653128257
0,9.0,100,200,1,0.5115698883209933,0.5252952308021125,0.569370815905243
0,9.0,100,200,22,0.533029697510214,0.7172707636097061,0.557644314823737
0,9.0,100,200,15,0.4088022319188038,0.43999048528267304,0.4066304731652781
0,9.0,100,200,18,0.553999669882329,0.6792385581901684,0.692438340456677
0,9.0,100,200,17,0.47257678004483267,0.3911131841926463,0.5297197834582151
0,9.0,100,200,3,0.5066999644723538,0.6759117313877802,0.592575449222221
0,10.0,100,200,20,0.5899225099574584,0.6909748416182022,0.5198447503861566
0,10.0,100,200,19,0.5720771345069648,0.7235741374676222,0.7341271852333724
0,10.0,100,200,9,0.4653167662168426,0.6531383833674792,0.5058904889455101
0,10.0,100,200,14,0.539086282583633,0.61778218525875,0.5119193850884628
0,10.0,100,200,21,0.5260895488411778,0.713683113518215,0.6253100387741948
