,rerun,bootstrap,subject,ism_repref_corr,sub_rep_ism_gsm_corr,sub_ref_ism_gsm_corr
0,9,0,17,,,0.003710854
0,9,0,3,,,0.005352372
0,10,0,20,,,0.005363976
0,10,0,19,,,0.009321409
0,10,0,9,,,0.002734412
0,10,0,14,,,0.004450292
0,10,0,21,,,0.004141164
0,10,0,8,,,0.002366225
0,10,0,4,,,0.004720861
0,10,0,11,,,0.000563587
0,10,0,6,,,0.003944138
0,10,0,7,,,0.004234955
0,10,0,23,,,0.00338504
0,10,0,0,,,2.24E-05
0,10,0,10,,,0.005162289
0,10,0,16,,,0.001017675
0,10,0,12,,,0.001297318
0,10,0,2,,,-0.000102617
0,10,0,13,,,0.0013904
0,10,0,5,,,0.006533629
0,10,0,1,,,0.004808077
0,10,0,22,,,0.002492183
0,10,0,15,,,0.003212797
0,10,0,18,,,0.005560922
0,10,0,17,,,0.003710854
0,10,0,3,,,0.005352372
0,11,0,20,,,0.005363976
0,11,0,19,,,0.009321409
0,11,0,9,,,0.002734412
0,11,0,14,,,0.004450292
0,11,0,21,,,0.004141164
0,11,0,8,,,0.002366225
0,11,0,4,,,0.004720861
0,11,0,11,,,0.000563587
0,11,0,6,,,0.003944138
0,11,0,7,,,0.004234955
0,11,0,23,,,0.00338504
0,11,0,0,,,2.24E-05
0,11,0,10,,,0.005162289
0,11,0,16,,,0.001017675
0,11,0,12,,,0.001297318
0,11,0,2,,,-0.000102617
0,11,0,13,,,0.0013904
0,11,0,5,,,0.006533629
0,11,0,1,,,0.004808077
0,11,0,22,,,0.002492183
0,11,0,15,,,0.003212797
0,11,0,18,,,0.005560922
0,11,0,17,,,0.003710854
0,11,0,3,,,0.005352372
0,12,0,20,,,0.005363976
0,12,0,19,,,0.009321409
0,12,0,9,,,0.002734412
0,12,0,14,,,0.004450292
0,12,0,21,,,0.004141164
0,12,0,8,,,0.002366225
0,12,0,4,,,0.004720861
0,12,0,11,,,0.000563587
0,12,0,6,,,0.003944138
0,12,0,7,,,0.004234955
0,12,0,23,,,0.00338504
0,12,0,0,,,2.24E-05
0,12,0,10,,,0.005162289
0,12,0,16,,,0.001017675
0,12,0,12,,,0.001297318
0,12,0,2,,,-0.000102617
0,12,0,13,,,0.0013904
0,12,0,5,,,0.006533629
0,12,0,1,,,0.004808077
0,12,0,22,,,0.002492183
0,12,0,15,,,0.003212797
0,12,0,18,,,0.005560922
0,12,0,17,,,0.003710854
0,12,0,3,,,0.005352372
0,13,0,20,,,0.005363976
0,13,0,19,,,0.009321409
0,13,0,9,,,0.002734412
0,13,0,14,,,0.004450292
0,13,0,21,,,0.004141164
0,13,0,8,,,0.002366225
0,13,0,4,,,0.004720861
0,13,0,11,,,0.000563587
0,13,0,6,,,0.003944138
0,13,0,7,,,0.004234955
0,13,0,23,,,0.00338504
0,13,0,0,,,2.24E-05
0,13,0,10,,,0.005162289
0,13,0,16,,,0.001017675
0,13,0,12,,,0.001297318
0,13,0,2,,,-0.000102617
0,13,0,13,,,0.0013904
0,13,0,5,,,0.006533629
0,13,0,1,,,0.004808077
0,13,0,22,,,0.002492183
0,13,0,15,,,0.003212797
0,13,0,18,,,0.005560922
0,13,0,17,,,0.003710854
0,13,0,3,,,0.005352372
0,14,0,20,,,0.005363976
0,14,0,19,,,0.009321409
0,14,0,9,,,0.002734412
0,14,0,14,,,0.004450292
0,14,0,21,,,0.004141164
0,14,0,8,,,0.002366225
0,14,0,4,,,0.004720861
0,14,0,11,,,0.000563587
0,14,0,6,,,0.003944138
0,14,0,7,,,0.004234955
0,14,0,23,,,0.00338504
0,14,0,0,,,2.24E-05
0,14,0,10,,,0.005162289
0,14,0,16,,,0.001017675
0,14,0,12,,,0.001297318
0,14,0,2,,,-0.000102617
0,14,0,13,,,0.0013904
0,14,0,5,,,0.006533629
0,14,0,1,,,0.004808077
0,14,0,22,,,0.002492183
0,14,0,15,,,0.003212797
0,14,0,18,,,0.005560922
0,14,0,17,,,0.003710854
0,14,0,3,,,0.005352372
0,15,0,20,,,0.005363976
0,15,0,19,,,0.009321409
0,15,0,9,,,0.002734412
0,15,0,14,,,0.004450292
0,15,0,21,,,0.004141164
0,15,0,8,,,0.002366225
0,15,0,4,,,0.004720861
0,15,0,11,,,0.000563587
0,15,0,6,,,0.003944138
0,15,0,7,,,0.004234955
0,15,0,23,,,0.00338504
0,15,0,0,,,2.24E-05
0,15,0,10,,,0.005162289
0,15,0,16,,,0.001017675
0,15,0,12,,,0.001297318
0,15,0,2,,,-0.000102617
0,15,0,13,,,0.0013904
0,15,0,5,,,0.006533629
0,15,0,1,,,0.004808077
0,15,0,22,,,0.002492183
0,15,0,15,,,0.003212797
0,15,0,18,,,0.005560922
0,15,0,17,,,0.003710854
0,15,0,3,,,0.005352372
0,16,0,20,,,0.005363976
0,16,0,19,,,0.009321409
0,16,0,9,,,0.002734412
0,16,0,14,,,0.004450292
0,16,0,21,,,0.004141164
0,16,0,8,,,0.002366225
0,16,0,4,,,0.004720861
0,16,0,11,,,0.000563587
0,16,0,6,,,0.003944138
0,16,0,7,,,0.004234955
0,16,0,23,,,0.00338504
0,16,0,0,,,2.24E-05
0,16,0,10,,,0.005162289
0,16,0,16,,,0.001017675
0,16,0,12,,,0.001297318
0,16,0,2,,,-0.000102617
0,16,0,13,,,0.0013904
0,16,0,5,,,0.006533629
0,16,0,1,,,0.004808077
0,16,0,22,,,0.002492183
0,16,0,15,,,0.003212797
0,16,0,18,,,0.005560922
0,16,0,17,,,0.003710854
0,16,0,3,,,0.005352372
0,17,0,20,,,0.005363976
0,17,0,19,,,0.009321409
0,17,0,9,,,0.002734412
0,17,0,14,,,0.004450292
0,17,0,21,,,0.004141164
0,17,0,8,,,0.002366225
0,17,0,4,,,0.004720861
0,17,0,11,,,0.000563587
0,17,0,6,,,0.003944138
0,17,0,7,,,0.004234955
0,17,0,23,,,0.00338504
0,17,0,0,,,2.24E-05
0,17,0,10,,,0.005162289
0,17,0,16,,,0.001017675
0,17,0,12,,,0.001297318
0,17,0,2,,,-0.000102617
0,17,0,13,,,0.0013904
0,17,0,5,,,0.006533629
0,17,0,1,,,0.004808077
0,17,0,22,,,0.002492183
0,17,0,15,,,0.003212797
0,17,0,18,,,0.005560922
0,17,0,17,,,0.003710854
0,17,0,3,,,0.005352372
0,18,0,20,,,0.005363976
0,18,0,19,,,0.009321409
0,18,0,9,,,0.002734412
0,18,0,14,,,0.004450292
0,18,0,21,,,0.004141164
0,18,0,8,,,0.002366225
0,18,0,4,,,0.004720861
0,18,0,11,,,0.000563587
0,18,0,6,,,0.003944138
0,18,0,7,,,0.004234955
0,18,0,23,,,0.00338504
0,18,0,0,,,2.24E-05
0,18,0,10,,,0.005162289
0,18,0,16,,,0.001017675
0,18,0,12,,,0.001297318
0,18,0,2,,,-0.000102617
0,18,0,13,,,0.0013904
0,18,0,5,,,0.006533629
0,18,0,1,,,0.004808077
0,18,0,22,,,0.002492183
0,18,0,15,,,0.003212797
0,18,0,18,,,0.005560922
0,18,0,17,,,0.003710854
0,18,0,3,,,0.005352372
0,19,0,20,,,0.005363976
0,19,0,19,,,0.009321409
0,19,0,9,,,0.002734412
0,19,0,14,,,0.004450292
0,19,0,21,,,0.004141164
0,19,0,8,,,0.002366225
0,19,0,4,,,0.004720861
0,19,0,11,,,0.000563587
0,19,0,6,,,0.003944138
0,19,0,7,,,0.004234955
0,19,0,23,,,0.00338504
0,19,0,0,,,2.24E-05
0,19,0,10,,,0.005162289
0,19,0,16,,,0.001017675
0,19,0,12,,,0.001297318
0,19,0,2,,,-0.000102617
0,19,0,13,,,0.0013904
0,19,0,5,,,0.006533629
0,19,0,1,,,0.004808077
0,19,0,22,,,0.002492183
0,19,0,15,,,0.003212797
0,19,0,18,,,0.005560922
0,19,0,17,,,0.003710854
0,19,0,3,,,0.005352372
0,20,0,20,,,0.005363976
0,20,0,19,,,0.009321409
0,20,0,9,,,0.002734412
0,20,0,14,,,0.004450292
0,20,0,21,,,0.004141164
0,20,0,8,,,0.002366225
0,20,0,4,,,0.004720861
0,20,0,11,,,0.000563587
0,20,0,6,,,0.003944138
0,20,0,7,,,0.004234955
0,20,0,23,,,0.00338504
0,20,0,0,,,2.24E-05
0,20,0,10,,,0.005162289
