,bootstrap,ism_repref_corr,ref_rep_indgrp_label_ARI,rerun,scantime,sub_ref_ism_gsm_corr,sub_rep_ism_gsm_corr,subject
0,1,0.001784152899724556,0.014140979621092052,1.0,halfmintest,,,23
0,1,0.010420961766897996,0.013654072752116409,1.0,halfmintest,,,27
0,1,0.031764625988464745,0.013807022682054651,1.0,halfmintest,,,7
0,10,0.02838382899049363,-0.0028393251416747186,1.0,halfmintest,,,5
0,10,0.026902219681189332,0.007975697785344744,1.0,halfmintest,,,6
0,10,0.05528257919720214,0.014667773222498376,1.0,halfmintest,,,0
0,10,0.0455956634963508,0.052971119304751776,1.0,halfmintest,,,8
0,10,0.035660802104912404,0.027108502243202662,1.0,halfmintest,,,12
0,10,0.07775247680926567,0.02996752865816595,1.0,halfmintest,,,16
0,10,0.04735540624248835,0.01875310389335833,1.0,halfmintest,,,13
0,10,0.07024621256258823,0.028551120195106132,1.0,halfmintest,,,3
0,10,0.038799615497487006,0.0005241863021832368,1.0,halfmintest,,,10
0,10,0.059660431546678216,0.005666335283575513,1.0,halfmintest,,,25
0,10,0.08421110903281936,0.04038423940469561,1.0,halfmintest,,,29
0,10,-0.031235045226187585,-0.034487527356183253,1.0,halfmintest,,,20
0,10,0.044699985084757365,0.01885450773997727,1.0,halfmintest,,,14
0,10,0.060703424039599274,0.0315569073894483,1.0,halfmintest,,,11
0,10,0.038506527426816706,0.028292745428292312,1.0,halfmintest,,,17
0,10,0.01936586086019021,-0.009912472188158647,1.0,halfmintest,,,19
0,10,0.031432699892642635,0.006920214267774131,1.0,halfmintest,,,1
0,10,0.05257581136246736,0.00423838029825193,1.0,halfmintest,,,4
0,10,0.10465171837144105,0.0312691357897613,1.0,halfmintest,,,18
0,10,0.0651519283376687,0.010348013089700254,1.0,halfmintest,,,15
0,10,0.11205882661741273,0.007905675163525354,1.0,halfmintest,,,9
0,10,0.03910949149571841,0.020999095285183265,1.0,halfmintest,,,28
0,10,0.029631943919748882,0.008417415455520199,1.0,halfmintest,,,2
0,10,0.0747485322804401,0.035638697421218085,1.0,halfmintest,,,26
0,10,0.022132436160331448,0.004497041640258173,1.0,halfmintest,,,21
0,10,0.008680604886633692,0.00661792880500612,1.0,halfmintest,,,22
0,10,0.035948978828967526,0.008143326636318012,1.0,halfmintest,,,24
0,10,0.06569442576792228,0.030107993832643922,1.0,halfmintest,,,23
0,10,0.0649206672061664,0.010317922806590246,1.0,halfmintest,,,27
0,10,0.09294662624301508,0.05756048258127433,1.0,halfmintest,,,7
0,100,0.05316453692317913,0.010945902196781388,1.0,halfmintest,,,5
0,100,0.023931146817739002,0.01804189550830179,1.0,halfmintest,,,6
0,100,0.07927865034157833,0.024219946653444763,1.0,halfmintest,,,0
0,100,0.058712563929860906,0.024820337169339554,1.0,halfmintest,,,8
0,100,0.045058182549595815,0.010171099861265758,1.0,halfmintest,,,12
0,100,0.08998953626829331,0.05614281402075909,1.0,halfmintest,,,16
0,100,0.05171434242438655,0.029596603749513433,1.0,halfmintest,,,13
0,100,0.10316333527473298,0.07359653481974394,1.0,halfmintest,,,3
0,100,0.053406833454797686,0.025503780115702205,1.0,halfmintest,,,10
0,100,0.07939941361920033,0.01586828600287993,1.0,halfmintest,,,25
0,100,0.10973888405978005,0.06781910436307616,1.0,halfmintest,,,29
0,100,0.009376160242671405,0.013738673402936809,1.0,halfmintest,,,20
0,100,0.05985198606038378,0.009288299289674649,1.0,halfmintest,,,14
0,100,0.09892390757129021,0.0469989249658544,1.0,halfmintest,,,11
0,100,0.06066516927841559,0.0187907141843378,1.0,halfmintest,,,17
0,100,0.026912516097065797,0.012108850277741202,1.0,halfmintest,,,19
0,100,0.033609135006221535,0.01845878502449382,1.0,halfmintest,,,1
0,100,0.0938062708453078,0.04041596338664847,1.0,halfmintest,,,4
0,100,0.10195663810274658,0.03158298978164905,1.0,halfmintest,,,18
0,100,0.1351262827698667,0.07183191009147531,1.0,halfmintest,,,15
0,100,0.13904742602211173,0.05954913104496992,1.0,halfmintest,,,9
0,100,0.055299465100666634,0.026312505990706402,1.0,halfmintest,,,28
0,100,0.048591844321479005,0.015293075265146148,1.0,halfmintest,,,2
0,100,0.10165642504217387,0.03536280200876931,1.0,halfmintest,,,26
0,100,0.03306820994562765,0.022092986922840906,1.0,halfmintest,,,21
0,100,0.017675573592526694,0.028602089948598402,1.0,halfmintest,,,22
0,100,0.05586868878663653,0.026718456414133528,1.0,halfmintest,,,24
0,100,0.08105067186278037,0.0482572156496383,1.0,halfmintest,,,23
0,100,0.10986567006764358,0.06030148942066109,1.0,halfmintest,,,27
0,100,0.09872833302195072,0.02929029363725055,1.0,halfmintest,,,7
0,200,0.051806560713603456,0.013141129248261121,1.0,halfmintest,,,5
0,200,0.02118742517988037,0.01202614869763143,1.0,halfmintest,,,6
0,200,0.07786927594394755,0.02845267077964493,1.0,halfmintest,,,0
0,200,0.06090223882750523,0.04686063042592163,1.0,halfmintest,,,8
0,200,0.04450148070003401,0.010179386256042838,1.0,halfmintest,,,12
0,200,0.09015583196266885,0.047991508807632755,1.0,halfmintest,,,16
0,200,0.05590069261231356,0.01809378111972241,1.0,halfmintest,,,13
0,200,0.10169985778258384,0.07240662345024168,1.0,halfmintest,,,3
0,200,0.05470850407875094,0.0126262413435467,1.0,halfmintest,,,10
0,200,0.07990168857816593,0.026155793669643785,1.0,halfmintest,,,25
