,rerun,bootstrap,group_label_acc,gsm_repref_corr,mean_rep_ism_gsm_corr,stdev_rep_ism_gsm_corr,scantime
0,5,200,0.580093981,0.751094726,0.00676693,0.003448031,tenmin
0,5,400,0.71304531,0.819976139,0.006289224,0.00300792,tenmin
0,5,800,0.679015899,0.848124908,0.006641085,0.002967223,tenmin
0,6,100,0.688659315,0.724295113,0.005601591,0.002374074,tenmin
0,6,200,0.714509652,0.820498778,0.006220285,0.002739208,tenmin
0,6,400,0.745273671,0.828009671,0.00609279,0.003194766,tenmin
0,6,800,0.661505067,0.820505353,0.00628771,0.003029874,tenmin
0,7,100,0.667078857,0.772099706,0.006618646,0.003823016,tenmin
0,7,200,0.718073086,0.797563625,0.006295372,0.003390425,tenmin
0,7,400,0.706928589,0.830921226,0.006344422,0.003125676,tenmin
0,7,800,0.669743136,0.814699333,0.006482174,0.004095661,tenmin
0,8,100,0.668271098,0.691627408,0.006951442,0.005330538,tenmin
0,8,200,0.677359685,0.800352015,0.006404564,0.003505046,tenmin
0,8,400,0.714035157,0.85083052,0.006440947,0.003408728,tenmin
0,8,800,0.709096589,0.840794108,0.006707469,0.002980952,tenmin
0,9,100,0.67404773,0.752775735,0.005719741,0.002745551,tenmin
0,9,200,0.65460081,0.78467812,0.005730663,0.003261529,tenmin
0,9,400,0.710013971,0.847121561,0.006080068,0.002866748,tenmin
0,9,800,0.730690815,0.845142447,0.006620982,0.003881422,tenmin
0,10,100,0.6086806,0.735960552,0.005751493,0.002631643,tenmin
0,10,200,0.524541262,0.780864716,0.006208116,0.003139431,tenmin
0,10,400,0.720282935,0.835978776,0.006074214,0.002758873,tenmin
0,10,800,0.744437243,0.864154549,0.006444037,0.002804884,tenmin
0,1,1,0.330769998,0.332563667,0.002251833,0.001775858,fifteenmin
0,1,100,0.69860423,0.787866127,0.005678628,0.002457537,fifteenmin
0,1,200,0.642822819,0.874039798,0.00546222,0.002834482,fifteenmin
0,1,400,0.583547239,0.845894752,0.00579946,0.002905804,fifteenmin
0,1,800,0.747805861,0.893807909,0.005954543,0.002869806,fifteenmin
0,2,100,0.575200581,0.741965527,0.005395287,0.002560125,fifteenmin
0,2,200,0.785241414,0.87146427,0.005920808,0.002668231,fifteenmin
0,2,400,0.712509021,0.870849402,0.005734358,0.002890541,fifteenmin
0,2,800,0.667593971,0.871548116,0.005954718,0.00334285,fifteenmin
0,3,100,0.689754725,0.754669997,0.005522257,0.001934359,fifteenmin
0,3,200,0.651786281,0.78896344,0.006239605,0.00242449,fifteenmin
0,3,400,0.795048335,0.882535298,0.006053538,0.002902343,fifteenmin
0,3,800,0.784992764,0.887510604,0.00593739,0.003020673,fifteenmin
0,4,100,0.558040795,0.747595672,0.004804702,0.002379923,fifteenmin
0,4,200,0.750747223,0.832721077,0.00536819,0.0023756,fifteenmin
0,4,400,0.654131823,0.822123769,0.005455584,0.002759914,fifteenmin
0,4,800,0.716681808,0.870100653,0.00557354,0.002757108,fifteenmin
0,5,100,0.671971442,0.73471846,0.005273233,0.002642405,fifteenmin
0,5,200,0.749155865,0.857900189,0.005879091,0.002422852,fifteenmin
0,5,400,0.694583298,0.885690586,0.005865199,0.00225924,fifteenmin
0,5,800,0.796055735,0.905666637,0.006010796,0.002494943,fifteenmin
0,6,100,0.71933137,0.787357884,0.005312721,0.001891105,fifteenmin
0,6,200,0.639217624,0.825448874,0.005850846,0.00241033,fifteenmin
0,6,400,0.719644298,0.873970307,0.00588142,0.002678992,fifteenmin
0,6,800,0.710859819,0.878244632,0.005778284,0.002437666,fifteenmin
0,7,100,0.685556871,0.755740881,0.005482008,0.002889564,fifteenmin
0,7,200,0.687785934,0.809006469,0.005619216,0.00341244,fifteenmin
0,7,400,0.717102624,0.845550936,0.005326526,0.002714253,fifteenmin
0,7,800,0.639199596,0.885407456,0.005667514,0.002804582,fifteenmin
0,8,100,0.712647923,0.808830804,0.005298854,0.002371629,fifteenmin
0,8,200,0.759978619,0.865706831,0.00573502,0.002323315,fifteenmin
0,8,400,0.782029515,0.875143029,0.006062436,0.002678029,fifteenmin
0,8,800,0.782897326,0.906114804,0.006015202,0.002443493,fifteenmin
0,9,100,0.66496507,0.753712197,0.005120953,0.002928593,fifteenmin
0,9,200,0.665398845,0.798961851,0.005756522,0.003932845,fifteenmin
0,9,400,0.729695183,0.832818676,0.005649741,0.003048628,fifteenmin
0,9,800,0.80510832,0.886978836,0.005576293,0.002636033,fifteenmin
0,10,100,0.741961238,0.833309963,0.00512657,0.002316814,fifteenmin
0,10,200,0.61741661,0.857984841,0.00551819,0.002168027,fifteenmin
0,10,400,0.764421785,0.866550001,0.005849194,0.002623308,fifteenmin
0,10,800,0.706491329,0.888851109,0.005828794,0.002851624,fifteenmin
0,1,1,0.339518736,0.340679128,0.002413052,0.001446477,twentymmin
0,1,100,0.546761141,0.788372047,0.005461071,0.002173939,twentymmin
0,1,200,0.740270151,0.885641064,0.005159469,0.002086904,twentymmin
0,1,400,0.81734111,0.867759252,0.005243667,0.002245272,twentymmin
0,1,800,0.669551746,0.891278313,0.005357283,0.002019979,twentymmin
0,2,100,0.639934254,0.799659678,0.005094369,0.002083627,twentymmin
0,2,200,0.735352417,0.857366269,0.005443595,0.002272528,twentymmin
0,2,400,0.730392865,0.898661543,0.005305758,0.002376559,twentymmin
0,2,800,0.86337492,0.903789617,0.005488143,0.002360534,twentymmin
0,3,100,0.697096351,0.809661446,0.005134295,0.002113741,twentymmin
0,3,200,0.820819742,0.883518217,0.005459971,0.002041375,twentymmin
0,3,400,0.803381928,0.885731899,0.005591983,0.002117483,twentymmin
0,3,800,0.856169262,0.914634598,0.005449512,0.002100968,twentymmin
0,4,100,0.735148202,0.821640329,0.00515051,0.002479615,twentymmin
0,4,200,0.717724008,0.875252973,0.005053169,0.002405207,twentymmin
0,4,400,0.78105916,0.89611821,0.005165567,0.002488011,twentymmin
0,4,800,0.76318204,0.899926772,0.005290244,0.002507411,twentymmin
0,5,100,0.652890295,0.774715473,0.003546969,0.0016973,twentymmin
0,5,200,0.790782194,0.855419649,0.003975863,0.001746315,twentymmin
0,5,400,0.798740828,0.86660935,0.003898961,0.001653652,twentymmin
0,5,800,0.794672967,0.884908184,0.004161976,0.001805971,twentymmin
0,6,100,0.658343804,0.810123849,0.004577206,0.001823867,twentymmin
0,6,200,0.785085517,0.87468975,0.004272414,0.001839133,twentymmin
0,6,400,0.590241957,0.865439553,0.004314757,0.00170532,twentymmin
0,6,800,0.822122767,0.901324148,0.004068969,0.001688062,twentymmin
0,7,100,0.600841512,0.744129186,0.005290799,0.001952265,twentymmin
0,7,200,0.84866307,0.903320466,0.005283918,0.002073801,twentymmin
0,7,400,0.821347624,0.891762911,0.005558528,0.002302888,twentymmin
0,7,800,0.722338733,0.906511724,0.005475716,0.002066367,twentymmin
0,8,100,0.682000964,0.807805812,0.00475593,0.002201014,twentymmin
0,8,200,0.711512754,0.855410891,0.005204744,0.001784288,twentymmin
0,8,400,0.744175181,0.885973641,0.005039961,0.001927811,twentymmin
0,8,800,0.82125389,0.912560639,0.005408721,0.002182382,twentymmin
0,9,100,0.55162596,0.784525552,0.004630118,0.001926767,twentymmin
0,9,200,0.718999373,0.838359083,0.004592399,0.002050877,twentymmin
0,9,400,0.803015499,0.882637519,0.00427321,0.001993828,twentymmin
0,9,800,0.81064257,0.911778211,0.004395173,0.002053974,twentymmin
0,10,100,0.700632118,0.834682189,0.004892057,0.002144263,twentymmin
0,10,200,0.703370539,0.83927186,0.005163107,0.002188712,twentymmin
0,10,400,0.79879798,0.88532189,0.005482288,0.001999043,twentymmin
0,10,800,0.789643628,0.910059069,0.005342736,0.002091536,twentymmin
0,1,1,0.255892133,0.261001399,0.00222659,0.002231193,twentyfivemin
0,1,100,0.730999114,0.839312027,0.004685964,0.002200604,twentyfivemin
0,1,200,0.719470677,0.871658502,0.004970209,0.002377816,twentyfivemin
0,1,400,0.8378726,0.907889573,0.005174105,0.002534681,twentyfivemin
0,1,800,0.85181139,0.910824873,0.005201012,0.002421743,twentyfivemin
0,2,100,0.594328007,0.765099626,0.004868854,0.00206226,twentyfivemin
0,2,200,0.702831465,0.869522106,0.005027822,0.001963067,twentyfivemin
0,2,400,0.803014942,0.885089503,0.005220063,0.002261317,twentyfivemin
0,2,800,0.748765654,0.906331441,0.005161711,0.00215083,twentyfivemin
0,3,100,0.641553715,0.803746037,0.005041715,0.002232437,twentyfivemin
0,3,200,0.691093337,0.850303959,0.005223506,0.002415384,twentyfivemin
0,3,400,0.737897196,0.858810392,0.005051813,0.002382578,twentyfivemin
0,3,800,0.819277997,0.923298546,0.005289116,0.002401611,twentyfivemin
0,4,100,0.679467559,0.788949834,0.004825038,0.002207233,twentyfivemin
0,4,200,0.731980051,0.83501991,0.004893281,0.002407932,twentyfivemin
0,4,400,0.748565552,0.880821785,0.00512535,0.002406119,twentyfivemin
0,4,800,0.63546585,0.905562715,0.005284984,0.002441655,twentyfivemin
0,5,100,0.72134137,0.810033862,0.004796529,0.002399275,twentyfivemin
0,5,200,0.741419204,0.872705596,0.005016676,0.002215215,twentyfivemin
0,5,400,0.761447907,0.89057832,0.005220153,0.002309099,twentyfivemin
0,5,800,0.843638864,0.922158055,0.005435954,0.002237601,twentyfivemin
0,6,100,0.659274694,0.805148356,0.005108926,0.002143651,twentyfivemin
0,6,200,0.702847608,0.887212917,0.005065995,0.002216786,twentyfivemin
0,6,400,0.714051973,0.853818784,0.00517328,0.002370638,twentyfivemin
0,6,800,0.802124491,0.907368457,0.005353544,0.002273938,twentyfivemin
0,7,100,0.646656181,0.715210599,0.004897483,0.001973479,twentyfivemin
0,7,200,0.869747203,0.920392712,0.005277247,0.002300844,twentyfivemin
0,7,400,0.638852905,0.849089314,0.005313958,0.002232155,twentyfivemin
0,7,800,0.799185229,0.926246034,0.005339683,0.002458948,twentyfivemin
0,8,100,0.664503674,0.806992497,0.005345185,0.002222622,twentyfivemin
