,rerun,bootstrap,subject,ism_repref_dist,ism_repref_corr,scantime
0,1,400,5,0.939021684,0.060978316,halfmin
0,1,400,6,0.979840603,0.020159397,halfmin
0,1,400,0,0.91427136,0.08572864,halfmin
0,1,400,8,0.937375402,0.062624598,halfmin
0,1,400,12,0.95674502,0.04325498,halfmin
0,1,400,16,0.908764708,0.091235292,halfmin
0,1,400,13,0.949306713,0.050693287,halfmin
0,1,400,3,0.888837299,0.111162701,halfmin
0,1,400,10,0.946886462,0.053113538,halfmin
0,1,400,25,0.923012839,0.076987161,halfmin
0,1,400,29,0.887361244,0.112638756,halfmin
0,1,400,20,0.9908649,0.0091351,halfmin
0,1,400,14,0.944034071,0.055965929,halfmin
0,1,400,11,0.908389809,0.091610191,halfmin
0,1,400,17,0.936163836,0.063836164,halfmin
0,1,400,19,0.974039322,0.025960678,halfmin
0,1,400,1,0.967433271,0.032566729,halfmin
0,1,400,4,0.911916802,0.088083198,halfmin
0,1,400,18,0.893914069,0.106085931,halfmin
0,1,400,15,0.873021464,0.126978536,halfmin
0,1,400,9,0.873933172,0.126066828,halfmin
0,1,400,28,0.955913597,0.044086403,halfmin
0,1,400,2,0.948052959,0.051947041,halfmin
0,1,400,26,0.887972119,0.112027881,halfmin
0,1,400,21,0.962245102,0.037754898,halfmin
0,1,400,22,0.981209252,0.018790748,halfmin
0,1,400,24,0.944443251,0.055556749,halfmin
0,1,400,23,0.915085305,0.084914695,halfmin
0,1,400,27,0.909071847,0.090928153,halfmin
0,1,400,7,0.910494626,0.089505374,halfmin
0,1,800,5,0.939720611,0.060279389,halfmin
0,1,800,6,0.980445019,0.019554981,halfmin
0,1,800,0,0.915183856,0.084816144,halfmin
0,1,800,8,0.935735516,0.064264484,halfmin
0,1,800,12,0.958742705,0.041257295,halfmin
0,1,800,16,0.906490126,0.093509874,halfmin
0,1,800,13,0.949819587,0.050180413,halfmin
0,1,800,3,0.88857546,0.11142454,halfmin
0,1,800,10,0.948269025,0.051730975,halfmin
0,1,800,25,0.92428192,0.07571808,halfmin
0,1,800,29,0.887658888,0.112341112,halfmin
0,1,800,20,0.991270464,0.008729536,halfmin
0,1,800,14,0.947198438,0.052801562,halfmin
0,1,800,11,0.908614146,0.091385854,halfmin
0,1,800,17,0.937678134,0.062321866,halfmin
0,1,800,19,0.97467574,0.02532426,halfmin
0,1,800,1,0.968050411,0.031949589,halfmin
0,1,800,4,0.912924444,0.087075556,halfmin
0,1,800,18,0.897374708,0.102625292,halfmin
0,1,800,15,0.874006162,0.125993838,halfmin
0,1,800,9,0.878441481,0.121558519,halfmin
0,1,800,28,0.95867638,0.04132362,halfmin
0,1,800,2,0.949267052,0.050732948,halfmin
0,1,800,26,0.889261556,0.110738444,halfmin
0,1,800,21,0.962021583,0.037978417,halfmin
0,1,800,22,0.981031007,0.018968993,halfmin
0,1,800,24,0.94624497,0.05375503,halfmin
0,1,800,23,0.913823096,0.086176904,halfmin
0,1,800,27,0.913693293,0.086306707,halfmin
0,1,800,7,0.912423183,0.087576817,halfmin
0,2,100,5,0.936457372,0.063542628,halfmin
0,2,100,6,0.977539289,0.022460711,halfmin
0,2,100,0,0.916423803,0.083576197,halfmin
0,2,100,8,0.939910637,0.060089363,halfmin
0,2,100,12,0.954363253,0.045636747,halfmin
0,2,100,16,0.91424712,0.08575288,halfmin
0,2,100,13,0.949771108,0.050228892,halfmin
0,2,100,3,0.888888997,0.111111003,halfmin
0,2,100,10,0.944894763,0.055105237,halfmin
0,2,100,25,0.925105496,0.074894504,halfmin
0,2,100,29,0.885823494,0.114176506,halfmin
0,2,100,20,0.989604247,0.010395753,halfmin
0,2,100,14,0.939331031,0.060668969,halfmin
0,2,100,11,0.909336162,0.090663838,halfmin
0,2,100,17,0.936291266,0.063708734,halfmin
0,2,100,19,0.973212066,0.026787934,halfmin
0,2,100,1,0.97107594,0.02892406,halfmin
0,2,100,4,0.909040333,0.090959667,halfmin
0,2,100,18,0.89628851,0.10371149,halfmin
0,2,100,15,0.878560576,0.121439424,halfmin
0,2,100,9,0.867628154,0.132371846,halfmin
0,2,100,28,0.945594574,0.054405426,halfmin
0,2,100,2,0.949282412,0.050717588,halfmin
0,2,100,26,0.887520783,0.112479217,halfmin
0,2,100,21,0.965855175,0.034144825,halfmin
0,2,100,22,0.981692672,0.018307328,halfmin
0,2,100,24,0.941691437,0.058308563,halfmin
0,2,100,23,0.916857488,0.083142512,halfmin
0,2,100,27,0.897713774,0.102286226,halfmin
0,2,100,7,0.909728478,0.090271522,halfmin
0,2,200,5,0.938335543,0.061664457,halfmin
0,2,200,6,0.9789266,0.0210734,halfmin
0,2,200,0,0.913999347,0.086000653,halfmin
0,2,200,8,0.939022481,0.060977519,halfmin
0,2,200,12,0.954288165,0.045711835,halfmin
0,2,200,16,0.915935553,0.084064447,halfmin
0,2,200,13,0.948338426,0.051661574,halfmin
0,2,200,3,0.890949399,0.109050601,halfmin
0,2,200,10,0.945241662,0.054758338,halfmin
0,2,200,25,0.923331293,0.076668707,halfmin
0,2,200,29,0.886911492,0.113088508,halfmin
0,2,200,20,0.990448641,0.009551359,halfmin
0,2,200,14,0.938006929,0.061993071,halfmin
0,2,200,11,0.910219048,0.089780952,halfmin
0,2,200,17,0.934018169,0.065981831,halfmin
0,2,200,19,0.973588389,0.026411611,halfmin
0,2,200,1,0.96879165,0.03120835,halfmin
0,2,200,4,0.90923656,0.09076344,halfmin
0,2,200,18,0.893785602,0.106214398,halfmin
0,2,200,15,0.873908608,0.126091392,halfmin
0,2,200,9,0.865931036,0.134068964,halfmin
0,2,200,28,0.949672998,0.050327002,halfmin
0,2,200,2,0.94730593,0.05269407,halfmin
0,2,200,26,0.888015742,0.111984258,halfmin
0,2,200,21,0.962994608,0.037005392,halfmin
0,2,200,22,0.981928971,0.018071029,halfmin
0,2,200,24,0.941874616,0.058125384,halfmin
0,2,200,23,0.919622065,0.080377935,halfmin
0,2,200,27,0.901602886,0.098397114,halfmin
0,2,200,7,0.909001462,0.090998538,halfmin
0,2,400,5,0.938610978,0.061389022,halfmin
0,2,400,6,0.979554472,0.020445528,halfmin
0,2,400,0,0.914015174,0.085984826,halfmin
0,2,400,8,0.936329555,0.063670445,halfmin
0,2,400,12,0.957205511,0.042794489,halfmin
0,2,400,16,0.908537515,0.091462485,halfmin
0,2,400,13,0.948784282,0.051215718,halfmin
0,2,400,3,0.888082047,0.111917953,halfmin
0,2,400,10,0.946764482,0.053235518,halfmin
0,2,400,25,0.923192778,0.076807222,halfmin
0,2,400,29,0.886224963,0.113775037,halfmin
0,2,400,20,0.990295644,0.009704356,halfmin
0,2,400,14,0.943061265,0.056938735,halfmin
0,2,400,11,0.908111799,0.091888201,halfmin
0,2,400,17,0.9361125,0.0638875,halfmin
0,2,400,19,0.974320945,0.025679055,halfmin
0,2,400,1,0.967882955,0.032117045,halfmin
0,2,400,4,0.911824929,0.088175071,halfmin
0,2,400,18,0.895106476,0.104893524,halfmin
0,2,400,15,0.873257085,0.126742915,halfmin
0,2,400,9,0.873454222,0.126545778,halfmin
0,2,400,28,0.955373913,0.044626087,halfmin
0,2,400,2,0.948156903,0.051843097,halfmin
0,2,400,26,0.887924235,0.112075765,halfmin
0,2,400,21,0.961895865,0.038104135,halfmin
0,2,400,22,0.981340191,0.018659809,halfmin
0,2,400,24,0.944305071,0.055694929,halfmin
0,2,400,23,0.914765657,0.085234343,halfmin
0,2,400,27,0.909077955,0.090922045,halfmin
0,2,400,7,0.910677916,0.089322084,halfmin
0,2,800,5,0.939630987,0.060369013,halfmin
0,2,800,6,0.980333472,0.019666528,halfmin
0,2,800,0,0.915004219,0.084995781,halfmin
0,2,800,8,0.935268785,0.064731215,halfmin
0,2,800,12,0.958835924,0.041164076,halfmin
0,2,800,16,0.906430835,0.093569165,halfmin
0,2,800,13,0.949536349,0.050463651,halfmin
0,2,800,3,0.888158409,0.111841591,halfmin
0,2,800,10,0.948243755,0.051756245,halfmin
0,2,800,25,0.92430594,0.07569406,halfmin
0,2,800,29,0.88720196,0.11279804,halfmin
0,2,800,20,0.990983753,0.009016247,halfmin
0,2,800,14,0.946837477,0.053162523,halfmin
0,2,800,11,0.908684199,0.091315801,halfmin
0,2,800,17,0.937713911,0.062286089,halfmin
0,2,800,19,0.974806731,0.025193269,halfmin
0,2,800,1,0.968307197,0.031692803,halfmin
0,2,800,4,0.912991682,0.087008318,halfmin
0,2,800,18,0.897879396,0.102120604,halfmin
0,2,800,15,0.873884562,0.126115438,halfmin
0,2,800,9,0.878119332,0.121880668,halfmin
